Education,Status,Others,Skin Color,Sex
 Bachelors, Married-civ-spouse, Sales, White, Male
 Assoc-acdm, Divorced, Tech-support, Black, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Assoc-voc, Married-civ-spouse, Adm-clerical, White, Female
 Some-college, Never-married, Sales, White, Male
 Some-college, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Never-married, Sales, White, Female
 Some-college, Never-married, Other-service, White, Male
 Assoc-voc, Never-married, Prof-specialty, White, Female
 Some-college, Never-married, Tech-support, White, Male
 HS-grad, Never-married, Transport-moving, Black, Female
 Some-college, Married-civ-spouse, Other-service, White, Male
 HS-grad, Widowed, Other-service, White, Female
 11th, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Divorced, ?, White, Female
 Some-college, Divorced, Adm-clerical, White, Female
 HS-grad, Never-married, Adm-clerical, White, Female
 Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Female
 HS-grad, Never-married, Craft-repair, White, Male
 HS-grad, Divorced, ?, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Never-married, Handlers-cleaners, White, Male
 Some-college, Separated, Sales, Black, Male
 HS-grad, Divorced, Craft-repair, White, Male
 Bachelors, Separated, Other-service, Black, Male
 1st-4th, Divorced, ?, White, Female
 HS-grad, Never-married, Other-service, White, Female
 Masters, Divorced, Exec-managerial, Asian-Pac-Islander, Female
 HS-grad, Never-married, Exec-managerial, Asian-Pac-Islander, Female
 Masters, Married-civ-spouse, Sales, White, Male
 Some-college, Divorced, Other-service, White, Female
 Assoc-acdm, Never-married, Exec-managerial, White, Male
 Masters, Widowed, Protective-serv, White, Male
 11th, Never-married, Handlers-cleaners, White, Male
 Assoc-voc, Widowed, Prof-specialty, White, Female
 HS-grad, Never-married, Other-service, White, Male
 HS-grad, Married-civ-spouse, Protective-serv, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 Bachelors, Never-married, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-spouse-absent, Sales, White, Female
 HS-grad, Never-married, Craft-repair, Black, Male
 HS-grad, Never-married, Handlers-cleaners, Black, Male
 HS-grad, Never-married, Other-service, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, Black, Male
 Some-college, Divorced, Adm-clerical, White, Female
 Some-college, Never-married, Craft-repair, Black, Male
 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, Black, Male
 Bachelors, Divorced, Exec-managerial, White, Female
 Bachelors, Divorced, ?, White, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Female
 Doctorate, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Divorced, Machine-op-inspct, Black, Female
 Some-college, Married-civ-spouse, Machine-op-inspct, White, Male
 Bachelors, Married-civ-spouse, Craft-repair, Black, Male
 Some-college, Married-civ-spouse, Tech-support, White, Male
 Bachelors, Married-civ-spouse, Tech-support, White, Male
 5th-6th, Married-civ-spouse, Transport-moving, White, Male
 Some-college, Divorced, Craft-repair, White, Male
 Masters, Never-married, Exec-managerial, White, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Never-married, Sales, White, Male
 Masters, Never-married, Prof-specialty, White, Female
 HS-grad, Never-married, ?, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Never-married, Prof-specialty, White, Female
 HS-grad, Divorced, Adm-clerical, White, Female
 11th, Never-married, Sales, White, Female
 Bachelors, Married-civ-spouse, Other-service, Black, Male
 HS-grad, Divorced, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Sales, White, Female
 11th, Never-married, Sales, White, Female
 HS-grad, Married-civ-spouse, Transport-moving, Black, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Never-married, Sales, Amer-Indian-Eskimo, Female
 HS-grad, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male
 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Male
 Bachelors, Never-married, Exec-managerial, Black, Male
 Assoc-acdm, Divorced, Sales, White, Female
 Bachelors, Married-civ-spouse, Sales, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 10th, Never-married, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Handlers-cleaners, White, Male
 1st-4th, Divorced, ?, White, Male
 HS-grad, Never-married, Other-service, Black, Male
 HS-grad, Married-civ-spouse, Adm-clerical, Black, Male
 Preschool, Never-married, Machine-op-inspct, White, Female
 HS-grad, Never-married, Sales, White, Female
 10th, Divorced, ?, Amer-Indian-Eskimo, Female
 HS-grad, Married-civ-spouse, Farming-fishing, White, Male
 Assoc-voc, Widowed, Adm-clerical, White, Female
 HS-grad, Divorced, Adm-clerical, White, Female
 11th, Separated, Transport-moving, Black, Male
 HS-grad, Divorced, Sales, Black, Female
 Some-college, Never-married, Adm-clerical, White, Male
 Some-college, Divorced, Craft-repair, Other, Female
 Prof-school, Never-married, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Other-service, White, Male
 Some-college, Never-married, Adm-clerical, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Never-married, Transport-moving, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Other-service, White, Female
 Assoc-acdm, Married-civ-spouse, Protective-serv, White, Male
 Some-college, Never-married, ?, White, Male
 Some-college, Divorced, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Never-married, Other-service, White, Female
 Assoc-acdm, Married-civ-spouse, Tech-support, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, White, Male
 Prof-school, Married-civ-spouse, Prof-specialty, White, Female
 Bachelors, Married-civ-spouse, Adm-clerical, Black, Female
 10th, Widowed, Other-service, Black, Female
 Some-college, Never-married, Adm-clerical, White, Male
 Some-college, Never-married, Transport-moving, White, Male
 HS-grad, Married-civ-spouse, Farming-fishing, Asian-Pac-Islander, Male
 HS-grad, Never-married, Other-service, White, Female
 HS-grad, Separated, Other-service, White, Female
 Assoc-voc, Widowed, Exec-managerial, White, Female
 7th-8th, Divorced, Craft-repair, White, Male
 Bachelors, Divorced, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Sales, White, Male
 11th, Never-married, Other-service, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 11th, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male
 Some-college, Never-married, ?, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Female
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 9th, Never-married, Other-service, White, Male
 Masters, Married-civ-spouse, Farming-fishing, White, Male
 Masters, Never-married, Prof-specialty, White, Male
 HS-grad, Divorced, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Handlers-cleaners, Black, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Never-married, Exec-managerial, White, Female
 Some-college, Never-married, Tech-support, White, Female
 Some-college, Married-civ-spouse, Machine-op-inspct, White, Female
 Bachelors, Never-married, Prof-specialty, White, Female
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Assoc-acdm, Divorced, Sales, Black, Female
 Bachelors, Divorced, Prof-specialty, White, Female
 HS-grad, Never-married, Handlers-cleaners, White, Male
 Masters, Married-civ-spouse, Sales, White, Male
 Prof-school, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Divorced, Other-service, White, Male
 Bachelors, Never-married, Exec-managerial, White, Female
 7th-8th, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Divorced, Prof-specialty, White, Female
 Bachelors, Never-married, Protective-serv, White, Male
 Some-college, Never-married, Sales, White, Male
 Bachelors, Never-married, Tech-support, Black, Female
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Bachelors, Divorced, Sales, White, Female
 Masters, Married-civ-spouse, ?, Asian-Pac-Islander, Female
 HS-grad, Never-married, Craft-repair, White, Male
 HS-grad, Divorced, Sales, White, Male
 Bachelors, Married-civ-spouse, Adm-clerical, White, Male
 Some-college, Never-married, Other-service, Asian-Pac-Islander, Female
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Married-civ-spouse, Sales, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Female
 HS-grad, Divorced, Adm-clerical, White, Female
 Assoc-acdm, Never-married, Tech-support, White, Male
 Assoc-acdm, Never-married, Prof-specialty, White, Female
 Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male
 Some-college, Married-civ-spouse, Farming-fishing, White, Male
 Bachelors, Never-married, Sales, White, Male
 Masters, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male
 Some-college, Never-married, ?, Black, Female
 Bachelors, Divorced, Prof-specialty, Black, Female
 Some-college, Never-married, Sales, White, Male
 Some-college, Never-married, Machine-op-inspct, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Female
 Some-college, Never-married, Tech-support, White, Female
 HS-grad, Widowed, Other-service, White, Female
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Divorced, Transport-moving, White, Male
 11th, Never-married, Exec-managerial, White, Female
 Masters, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Farming-fishing, White, Male
 Assoc-voc, Never-married, ?, Black, Female
 Some-college, Married-civ-spouse, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male
 HS-grad, Never-married, Transport-moving, White, Male
 Some-college, Never-married, Craft-repair, Black, Male
 Bachelors, Never-married, Adm-clerical, White, Male
 Assoc-voc, Never-married, Other-service, White, Male
 10th, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 5th-6th, Never-married, Other-service, White, Male
 HS-grad, Never-married, Craft-repair, White, Male
 Masters, Never-married, Prof-specialty, White, Male
 HS-grad, Never-married, Sales, Black, Male
 HS-grad, Married-civ-spouse, Other-service, Black, Male
 Assoc-acdm, Never-married, Sales, White, Male
 Assoc-voc, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Protective-serv, White, Male
 HS-grad, Never-married, Farming-fishing, White, Male
 Some-college, Never-married, Protective-serv, Black, Female
 Bachelors, Never-married, Sales, White, Male
 11th, Married-civ-spouse, ?, White, Male
 Assoc-voc, Divorced, ?, White, Female
 Assoc-acdm, Married-spouse-absent, Other-service, White, Male
 Bachelors, Never-married, Prof-specialty, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Other-service, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 11th, Married-civ-spouse, Transport-moving, White, Male
 Bachelors, Married-civ-spouse, ?, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, White, Male
 11th, Widowed, Other-service, Other, Male
 Assoc-voc, Married-civ-spouse, Tech-support, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, White, Female
 9th, Married-civ-spouse, Craft-repair, White, Male
 10th, Married-civ-spouse, Other-service, White, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Married-civ-spouse, Transport-moving, White, Male
 Bachelors, Divorced, Exec-managerial, White, Male
 HS-grad, Married-spouse-absent, Sales, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 Assoc-acdm, Never-married, Sales, White, Female
 Bachelors, Divorced, Exec-managerial, White, Female
 HS-grad, Divorced, Sales, White, Female
 Some-college, Never-married, Adm-clerical, White, Female
 11th, Never-married, Other-service, White, Male
 Assoc-voc, Married-civ-spouse, Machine-op-inspct, White, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Male
 HS-grad, Never-married, Craft-repair, Black, Male
 Some-college, Never-married, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Female
 Some-college, Never-married, Sales, White, Male
 Masters, Divorced, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Sales, White, Male
 HS-grad, Divorced, Transport-moving, White, Male
 5th-6th, Divorced, Craft-repair, White, Female
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Divorced, Sales, White, Female
 Some-college, Married-civ-spouse, Transport-moving, White, Female
 HS-grad, Never-married, Other-service, White, Female
 HS-grad, Separated, Machine-op-inspct, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, White, Female
 Some-college, Never-married, Adm-clerical, White, Female
 HS-grad, Never-married, Other-service, White, Female
 HS-grad, Married-civ-spouse, Other-service, White, Female
 Bachelors, Never-married, Craft-repair, White, Male
 Assoc-acdm, Separated, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Never-married, Other-service, White, Female
 Some-college, Married-civ-spouse, Tech-support, White, Male
 Some-college, Divorced, Handlers-cleaners, White, Female
 HS-grad, Never-married, ?, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Never-married, Handlers-cleaners, White, Male
 Some-college, Never-married, Other-service, White, Female
 Bachelors, Married-civ-spouse, Protective-serv, White, Male
 Assoc-voc, Divorced, Tech-support, White, Female
 7th-8th, Married-civ-spouse, Handlers-cleaners, Other, Male
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, ?, White, Female
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Divorced, Other-service, Black, Female
 HS-grad, Never-married, Handlers-cleaners, Black, Female
 Some-college, Divorced, Exec-managerial, White, Female
 Doctorate, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Machine-op-inspct, White, Male
 12th, Divorced, Craft-repair, White, Male
 1st-4th, Married-civ-spouse, Machine-op-inspct, White, Male
 11th, Never-married, Other-service, White, Female
 11th, Separated, Machine-op-inspct, Black, Male
 HS-grad, Divorced, Transport-moving, White, Female
 Some-college, Married-civ-spouse, Sales, White, Male
 11th, Never-married, Handlers-cleaners, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Female
 HS-grad, Divorced, Farming-fishing, White, Male
 10th, Never-married, Craft-repair, White, Female
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Masters, Never-married, Prof-specialty, White, Male
 HS-grad, Never-married, Handlers-cleaners, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Widowed, ?, White, Male
 11th, Never-married, ?, White, Male
 Bachelors, Married-spouse-absent, Prof-specialty, White, Female
 Assoc-acdm, Married-civ-spouse, Other-service, White, Female
 Some-college, Never-married, Craft-repair, Asian-Pac-Islander, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Never-married, Farming-fishing, Black, Male
 Some-college, Never-married, Protective-serv, White, Female
 Some-college, Married-civ-spouse, Adm-clerical, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, White, Female
 Bachelors, Never-married, Prof-specialty, White, Male
 HS-grad, Divorced, Adm-clerical, White, Female
 HS-grad, Never-married, Armed-Forces, White, Male
 Some-college, Married-civ-spouse, Prof-specialty, White, Male
 9th, Never-married, Craft-repair, White, Male
 Some-college, Never-married, Sales, White, Male
 HS-grad, Widowed, Exec-managerial, Black, Female
 HS-grad, Married-civ-spouse, Craft-repair, Amer-Indian-Eskimo, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male
 11th, Never-married, ?, White, Female
 HS-grad, Never-married, Machine-op-inspct, Black, Female
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Assoc-acdm, Married-civ-spouse, Exec-managerial, Black, Male
 HS-grad, Married-civ-spouse, Sales, White, Female
 Assoc-voc, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Female
 Some-college, Married-civ-spouse, Transport-moving, Black, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Some-college, Married-civ-spouse, ?, White, Male
 Assoc-acdm, Never-married, Farming-fishing, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, Black, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 1st-4th, Married-spouse-absent, Craft-repair, White, Male
 Bachelors, Never-married, Tech-support, White, Female
 HS-grad, Married-civ-spouse, Adm-clerical, White, Female
 HS-grad, Divorced, Transport-moving, White, Male
 Some-college, Married-civ-spouse, Transport-moving, White, Male
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Married-civ-spouse, Tech-support, White, Female
 Some-college, Never-married, Prof-specialty, White, Male
 Some-college, Never-married, ?, White, Male
 HS-grad, Never-married, Craft-repair, White, Male
 HS-grad, Never-married, Transport-moving, White, Male
 Assoc-voc, Divorced, Other-service, White, Female
 Bachelors, Never-married, Craft-repair, White, Female
 9th, Never-married, Other-service, White, Male
 Some-college, Never-married, Handlers-cleaners, White, Male
 10th, Never-married, Other-service, White, Male
 HS-grad, Never-married, Other-service, White, Female
 Assoc-acdm, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Never-married, Prof-specialty, White, Male
 HS-grad, Married-spouse-absent, Craft-repair, White, Female
 12th, Never-married, ?, Black, Male
 Some-college, Married-spouse-absent, Adm-clerical, Black, Female
 1st-4th, Married-civ-spouse, ?, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Bachelors, Divorced, Prof-specialty, White, Female
 Bachelors, Married-civ-spouse, Sales, White, Male
 HS-grad, Never-married, Other-service, White, Female
 HS-grad, Divorced, Adm-clerical, White, Male
 Assoc-acdm, Never-married, Exec-managerial, White, Female
 HS-grad, Divorced, Prof-specialty, White, Female
 Bachelors, Never-married, Craft-repair, White, Male
 HS-grad, Divorced, Adm-clerical, White, Female
 Some-college, Never-married, Machine-op-inspct, White, Male
 5th-6th, Never-married, Other-service, White, Male
 Some-college, Never-married, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, ?, White, Male
 HS-grad, Never-married, Farming-fishing, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, White, Male
 Some-college, Divorced, Other-service, White, Female
 Bachelors, Never-married, Sales, White, Female
 Bachelors, Never-married, Exec-managerial, Black, Male
 Some-college, Never-married, Protective-serv, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Separated, Adm-clerical, Black, Female
 HS-grad, Divorced, Other-service, White, Female
 Assoc-voc, Married-spouse-absent, Handlers-cleaners, White, Male
 5th-6th, Widowed, ?, Black, Female
 Assoc-voc, Never-married, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Divorced, Craft-repair, White, Male
 Assoc-voc, Widowed, ?, White, Female
 Some-college, Never-married, Adm-clerical, Amer-Indian-Eskimo, Female
 Some-college, Never-married, ?, White, Male
 Some-college, Never-married, ?, White, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Divorced, Handlers-cleaners, Black, Male
 Some-college, Married-civ-spouse, Tech-support, White, Male
 Some-college, Divorced, Machine-op-inspct, White, Male
 Some-college, Married-civ-spouse, Sales, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
